Name,R,HR,RBI,SB,AVG,Ovr,group
Cody Bellinger,113.4,42.5,113.3,12.5,0.287,17.0,16
Freddie Freeman,105.2,32.9,95.6,6.4,0.292,45.0,14
Anthony Rizzo,107.5,31.7,87.5,5.6,0.28300000000000003,57.2,14
Paul Goldschmidt,94.1,30.4,82.5,5.2,0.273,81.2,13
Yuli Gurriel,82.7,23.3,93.1,4.8,0.28800000000000003,81.4,13
DJ LeMahieu,97.6,18.6,71.4,6.5,0.285,87.2,13
Jose Abreu,84.4,31.0,100.2,2.6,0.276,96.0,13
Josh Bell,88.2,28.9,84.3,2.4,0.27399999999999997,110.8,7
Carlos Santana,88.2,29.5,99.4,2.8,0.259,118.6,7
Joey Votto,93.3,22.0,66.4,3.4,0.27,121.6,7
Trey Mancini,85.5,29.8,88.8,1.5,0.271,130.8,7
Eric Hosmer,75.6,23.3,76.4,3.4,0.263,133.8,7
Pete Alonso,97.8,42.6,100.1,1.7,0.252,136.8,9
Rhys Hoskins,96.3,34.5,90.1,3.6,0.242,145.0,9
Daniel Murphy,64.4,18.3,72.1,2.2,0.28800000000000003,145.8,2
Matt Olson,86.2,36.7,105.3,1.4,0.254,150.0,9
Joc Pederson,69.0,28.5,76.5,3.1,0.253,155.6,2
Brandon Belt,79.5,20.0,61.6,5.0,0.254,158.0,2
Danny Santana,66.4,21.3,73.0,19.0,0.24100000000000002,161.6,2
C.J. Cron,66.7,27.9,81.5,1.6,0.261,163.6,2
Michael Chavis,69.3,24.7,74.9,3.6,0.248,167.4,2
Christian Walker,68.7,23.7,73.7,5.0,0.24600000000000002,168.4,2
Max Muncy,89.4,29.8,78.3,3.6,0.239,171.0,2
Yandy Diaz,60.9,11.6,55.7,4.1,0.27399999999999997,173.6,15
Howie Kendrick,47.6,12.2,51.0,3.6,0.307,175.4,15
Edwin Encarnacion,77.3,33.2,93.1,1.5,0.24600000000000002,181.2,8
Miguel Cabrera,66.4,19.1,76.4,0.8,0.27699999999999997,186.6,8
Yasmani Grandal,72.1,25.3,76.0,3.2,0.239,192.8,8
Renato Nunez,68.7,27.2,84.1,1.9,0.244,196.4,8
Albert Pujols,60.6,21.2,68.4,1.9,0.252,201.4,8
Luke Voit,72.4,23.7,75.0,1.2,0.249,204.4,8
Evan White,50.4,17.0,54.9,2.9,0.253,217.6,0
Ryan Mountcastle,40.6,14.4,46.0,1.8,0.271,231.2,0
Eric Thames,58.9,20.3,60.8,4.6,0.23399999999999999,233.4,0
Ji-Man Choi,51.5,16.5,55.5,2.8,0.245,239.2,0
Jake Bauers,47.5,13.1,42.5,8.5,0.242,239.8,0
Jose Osuna,38.3,11.0,41.5,2.5,0.264,244.2,0
Ronald Guzman,54.6,16.4,52.2,2.7,0.24,259.2,0
Travis D’Arnaud,42.3,13.6,47.7,1.3,0.257,263.6,0
Jeimer Candelario,51.2,14.1,46.9,2.6,0.243,264.2,0
Mitch Moreland,46.7,15.7,51.2,1.2,0.251,265.8,0
Rowdy Tellez,34.5,12.6,36.4,1.8,0.252,281.8,3
Ryan Zimmerman,33.6,12.2,38.1,0.8,0.265,288.6,3
Marwin Gonzalez,31.9,8.2,31.6,1.2,0.26899999999999996,292.8,3
Justin Smoak,51.3,19.9,55.2,0.7,0.24,298.4,3
Ryan O’Hearn,49.7,17.8,51.1,1.3,0.23399999999999999,302.2,3
Garrett Cooper,37.7,10.5,37.8,0.7,0.262,303.6,3
Austin Nola,40.1,8.8,37.9,2.7,0.24100000000000002,305.4,3
Aledmys Diaz,26.5,7.0,26.0,1.6,0.261,310.4,5
Nate Lowe,30.7,10.0,31.2,0.7,0.263,313.6,5
Victor Caratini,26.4,6.8,28.8,1.0,0.262,326.8,5
Ryan McBroom,27.7,7.3,26.1,1.2,0.254,334.4,5
Matt Beaty,18.0,4.4,18.5,1.4,0.27399999999999997,335.6,5
Daniel Vogelbach,43.7,16.7,45.0,0.7,0.231,351.8,17
Jake Lamb,27.3,8.6,28.4,1.6,0.233,370.0,1
Dominic Smith,22.0,7.0,23.1,1.4,0.242,376.4,1
Ehire Adrianza,17.2,2.8,15.4,1.5,0.256,381.0,1
Pablo Sandoval,19.2,6.5,20.5,0.8,0.25,382.4,1
Mike Ford,18.8,6.7,19.2,0.4,0.255,388.8,1
Jesus Aguilar,25.4,9.4,26.4,0.4,0.242,394.8,1
Steve Pearce,26.8,7.6,26.3,0.8,0.23600000000000002,399.6,4
Neil Walker,21.9,5.9,20.5,0.8,0.242,404.6,4
Greg Bird,24.0,9.0,24.7,0.9,0.228,409.2,4
Sam Travis,13.2,3.4,13.1,1.2,0.247,417.4,4
Chris Davis,26.0,10.8,26.9,0.7,0.198,425.6,4
Mark Reynolds,20.8,6.5,20.8,1.2,0.214,432.0,6
Matt Adams,21.7,9.7,25.1,0.4,0.22399999999999998,436.4,6
Logan Forsythe,19.6,4.2,18.2,1.0,0.231,441.2,6
Kevin Cron,11.0,4.6,12.6,0.5,0.247,443.8,6
Yonder Alonso,14.3,4.3,14.4,0.3,0.244,453.0,6
Brandon Dixon,10.1,3.1,11.2,1.2,0.23800000000000002,459.2,10
Josh Ockimey,15.6,4.5,14.5,0.6,0.228,471.8,10
Rangel Ravelo,6.9,1.7,7.0,0.3,0.265,477.6,10
Tyler Austin,10.9,3.9,11.3,0.9,0.22399999999999998,487.2,10
Derek Dietrich,9.4,2.9,9.3,0.4,0.23800000000000002,504.2,11
John Hicks,9.6,2.9,10.8,0.6,0.228,508.6,11
Brendan McKay,8.6,2.8,8.6,0.6,0.21600000000000003,529.0,11
Tyler White,8.1,2.2,8.3,0.3,0.23600000000000002,529.8,11
Chris Shaw,6.1,2.1,6.9,0.3,0.239,538.4,11
Jared Walsh,6.2,2.0,6.3,0.1,0.237,560.2,12
Lewin Diaz,5.1,1.8,5.6,0.2,0.24,562.0,12
Taylor Jones,6.5,1.6,6.0,0.2,0.231,572.2,12
Cheslor Cuthbert,3.0,0.9,3.1,0.1,0.247,583.8,12
Andrew Vaughn,4.6,1.2,4.3,0.3,0.212,622.2,18
Lucas Duda,0.8,0.3,0.8,0.0,0.225,662.8,19
