Name,R,HR,RBI,SB,AVG,Ovr,group
J.T. Realmuto,73.8,23.9,72.6,5.8,0.27,110.8,19
Willson Contreras,62.0,19.0,63.4,3.2,0.257,176.8,18
Salvador Perez,60.0,24.7,72.7,2.0,0.252,190.2,17
Christian Vazquez,54.2,13.3,53.6,4.8,0.262,190.8,18
Yasmani Grandal,72.1,25.3,76.0,3.2,0.239,192.8,17
Gary Sanchez,65.4,30.7,81.1,1.4,0.242,215.6,20
Yadier Molina,42.6,11.7,48.1,4.0,0.264,216.2,15
Mitch Garver,62.0,19.4,60.7,1.3,0.253,227.0,21
Wilson Ramos,47.6,15.4,54.3,0.9,0.27399999999999997,234.4,15
Buster Posey,52.0,9.9,42.5,1.7,0.27399999999999997,235.0,15
Francisco Mejia,37.5,12.0,43.6,2.0,0.257,258.8,8
Jorge Alfaro,41.9,14.1,47.3,3.8,0.243,259.2,8
Kurt Suzuki,39.5,13.8,46.0,1.1,0.267,259.6,8
Sean Murphy,43.4,13.3,46.0,2.4,0.25,260.2,8
Travis D’Arnaud,42.3,13.6,47.7,1.3,0.257,263.6,8
Omar Narvaez,43.1,12.3,46.7,1.0,0.26,274.4,8
Will Smith,48.2,19.7,57.6,2.7,0.225,279.0,8
Carson Kelly,46.4,14.1,49.0,1.1,0.249,286.2,4
Danny Jansen,39.8,11.0,37.6,1.9,0.249,288.2,4
Jacob Stallings,31.4,6.8,33.1,1.5,0.262,294.4,4
Tony Wolters,43.2,5.3,40.7,1.9,0.251,301.6,4
Reese McGuire,37.1,8.7,34.5,2.9,0.242,302.0,4
Tom Murphy,42.0,17.4,49.1,2.9,0.21600000000000003,302.2,4
Stephen Vogt,30.0,10.2,34.5,2.4,0.24600000000000002,303.4,4
Pedro Severino,32.8,9.8,34.1,2.3,0.244,309.6,4
Austin Romine,27.0,7.6,28.7,1.7,0.256,311.0,4
Tucker Barnhart,40.9,9.5,42.0,1.9,0.23800000000000002,321.2,16
Victor Caratini,26.4,6.8,28.8,1.0,0.262,326.8,16
Chance Sisco,34.6,10.4,34.5,1.6,0.239,332.8,16
Willians Astudillo,16.1,3.9,16.6,1.1,0.295,338.2,22
Robinson Chirinos,40.3,13.2,40.6,1.7,0.218,342.8,9
Mike Zunino,44.2,16.7,45.2,1.3,0.203,350.6,9
Roberto Perez,43.8,14.1,47.1,1.0,0.21899999999999997,352.6,9
Kevin Plawecki,28.1,5.9,27.0,1.4,0.24600000000000002,352.8,10
Jason Castro,42.4,12.0,42.9,1.3,0.22,354.4,9
Yan Gomes,31.9,10.5,36.1,1.1,0.237,355.8,10
Austin Allen,30.4,8.3,32.0,1.0,0.242,358.8,10
Francisco Cervelli,29.5,6.7,28.5,2.0,0.23600000000000002,361.4,10
Jonathan Lucroy,25.9,5.7,27.0,0.7,0.255,362.4,10
Martin Maldonado,41.6,11.1,43.2,1.0,0.22,366.8,9
Manny Pina,25.1,7.0,27.2,1.1,0.244,368.4,10
Isiah Kiner-Falefa,19.4,2.4,14.7,2.7,0.249,376.4,10
Austin Hedges,28.4,11.4,33.0,1.5,0.212,376.8,10
Austin Barnes,23.8,5.1,23.4,2.7,0.225,389.4,0
Curt Casali,25.5,7.7,27.4,1.0,0.235,393.4,0
James McCann,22.8,6.3,23.9,1.3,0.237,394.0,0
Matt Wieters,21.5,7.3,23.8,1.4,0.233,394.4,0
Alex Avila,30.9,7.8,30.2,1.2,0.214,397.6,0
Luke Maile,21.5,4.6,22.3,2.8,0.217,400.8,0
