Name,R,HR,RBI,SB,AVG,Ovr,group
Mike Trout,115.7,42.9,109.6,13.2,0.29600000000000004,12.0,16
Cody Bellinger,113.4,42.5,113.3,12.5,0.287,17.0,16
Christian Yelich,106.5,34.6,92.3,21.4,0.304,19.0,16
Ronald Acuna Jr.,108.2,36.8,90.4,29.4,0.28300000000000003,20.8,16
Juan Soto,110.7,35.0,96.7,9.0,0.292,29.8,16
Mookie Betts,113.1,31.3,87.0,17.1,0.27899999999999997,34.4,16
Charlie Blackmon,103.0,29.7,86.5,8.0,0.294,46.8,17
George Springer,118.2,35.0,93.1,8.2,0.273,48.8,17
Austin Meadows,90.1,29.1,85.8,15.4,0.272,57.4,17
Starling Marte,84.9,23.1,75.4,24.8,0.284,59.2,17
Bryce Harper,108.4,40.1,96.6,11.0,0.259,60.2,17
Ketel Marte,97.3,23.4,76.0,8.8,0.29600000000000004,60.4,17
J.D. Martinez,101.7,39.6,128.0,2.6,0.301,62.6,21
Luis Robert,79.4,26.3,81.6,23.4,0.272,66.0,14
Eddie Rosario,86.7,29.3,100.9,4.8,0.28300000000000003,69.0,19
Marcell Ozuna,86.7,29.8,87.9,6.4,0.276,73.4,14
Tommy Pham,89.7,24.8,70.6,18.2,0.271,73.8,14
Michael Brantley,87.0,21.0,93.2,5.4,0.289,78.2,14
Kris Bryant,105.0,30.8,82.2,4.3,0.27399999999999997,79.2,19
Andrew Benintendi,93.0,18.7,79.2,13.2,0.272,80.4,14
Giancarlo Stanton,98.5,48.6,122.8,2.7,0.268,84.2,21
Max Kepler,103.6,31.1,88.2,6.0,0.259,89.0,19
Aaron Judge,98.0,38.7,99.3,5.9,0.254,90.8,19
Ramon Laureano,78.3,23.6,77.2,14.7,0.263,91.4,14
David Dahl,76.3,21.6,74.1,8.4,0.275,91.6,14
Whit Merrifield,89.1,13.6,61.7,23.1,0.282,93.6,13
Lourdes Gurriel Jr.,70.7,25.8,83.8,8.5,0.265,95.4,14
Lorenzo Cain,87.3,15.8,60.8,19.5,0.27699999999999997,96.4,13
Andrew McCutchen,93.1,28.5,74.2,8.3,0.259,98.0,14
Adam Eaton,85.1,14.5,62.1,12.1,0.282,101.0,13
Yasiel Puig,65.7,22.4,71.9,12.7,0.268,104.6,13
Nicholas Castellanos,83.3,26.8,84.2,3.0,0.27399999999999997,106.2,18
Bryan Reynolds,78.3,17.8,62.3,6.4,0.28800000000000003,110.2,15
Byron Buxton,72.3,18.4,65.9,22.2,0.262,113.8,15
Kyle Schwarber,91.6,37.0,91.8,4.7,0.25,115.4,18
Jorge Soler,81.2,33.6,96.8,3.4,0.257,116.2,18
Victor Robles,72.5,17.1,66.5,27.5,0.261,116.4,15
Alex Verdugo,75.6,13.5,61.6,5.9,0.306,122.2,15
Ryan Braun,62.3,22.0,67.0,7.8,0.268,123.0,15
Eloy Jimenez,80.4,33.1,101.3,1.2,0.27899999999999997,125.8,18
Michael Conforto,87.6,30.7,81.1,5.1,0.25,128.0,18
Trey Mancini,85.5,29.8,88.8,1.5,0.271,130.8,18
Oscar Mercado,75.1,15.7,65.2,23.4,0.255,134.4,15
David Peralta,76.2,20.5,70.7,2.5,0.27899999999999997,134.8,15
Anthony Santander,63.5,22.3,74.9,4.8,0.262,138.2,15
Avisail Garcia,57.0,19.9,65.9,6.2,0.26899999999999996,139.6,8
Willie Calhoun,70.3,25.5,80.8,2.3,0.267,139.6,18
Franmil Reyes,81.8,36.9,101.1,1.3,0.259,143.2,22
Jason Heyward,67.8,15.7,67.9,6.5,0.26,149.4,8
Gregory Polanco,73.1,22.6,66.4,9.5,0.247,150.0,8
Shin-Soo Choo,83.3,20.9,61.6,9.0,0.249,150.2,8
Brian Anderson,73.3,19.5,64.6,4.4,0.26,151.6,8
Corey Dickerson,61.2,18.3,62.6,4.1,0.271,153.6,8
Joc Pederson,69.0,28.5,76.5,3.1,0.253,155.6,8
Hunter Dozier,70.2,21.3,79.4,4.1,0.251,158.2,8
Mark Canha,73.3,24.0,75.5,3.7,0.249,161.4,8
Victor Reyes,57.7,9.5,47.8,14.8,0.273,161.6,8
Danny Santana,66.4,21.3,73.0,19.0,0.24100000000000002,161.6,8
Joey Gallo,81.6,41.2,101.0,7.1,0.223,163.0,22
Austin Hays,54.2,19.3,55.8,8.1,0.258,164.2,8
Luis Arraez,68.6,5.8,54.1,5.3,0.312,165.0,8
Kyle Tucker,59.3,21.0,59.1,14.6,0.248,166.2,8
Justin Upton,73.0,28.7,86.9,4.9,0.24,166.8,22
Shogo Akiyama,54.2,10.6,45.2,7.7,0.281,170.0,1
Nomar Mazara,63.2,23.4,68.7,3.0,0.255,170.2,8
Alex Gordon,61.7,15.1,64.5,5.5,0.258,171.0,8
David Fletcher,64.9,6.2,49.5,7.7,0.27899999999999997,172.4,1
J.D. Davis,58.7,20.8,66.1,2.7,0.263,173.6,8
Stephen Piscotty,63.4,19.7,65.8,2.5,0.262,175.6,8
Randal Grichuk,69.5,29.8,84.3,2.8,0.244,176.2,8
Trent Grisham,59.5,18.4,64.3,9.8,0.245,179.0,1
Brett Gardner,67.6,16.3,55.0,9.3,0.24600000000000002,183.6,1
Garrett Hampson,45.8,7.8,44.1,18.3,0.271,184.2,1
Nick Markakis,66.5,12.3,62.4,1.7,0.282,184.2,1
Nick Senzel,47.2,12.2,47.1,11.6,0.261,184.8,1
Jackie Bradley Jr.,70.0,17.9,62.4,9.7,0.24100000000000002,185.2,1
Kole Calhoun,67.9,22.7,69.4,4.3,0.243,186.2,1
Mike Yastrzemski,70.2,18.6,57.6,7.2,0.242,189.8,1
Scott Kingery,59.1,17.6,66.5,14.5,0.24,191.0,1
Jesse Winker,52.9,14.1,50.8,2.4,0.27899999999999997,192.6,1
Ian Happ,61.6,21.9,67.1,7.5,0.23800000000000002,195.8,1
A.J. Pollock,49.2,15.4,51.2,6.4,0.254,197.0,1
Domingo Santana,55.9,18.3,58.3,5.9,0.248,198.2,1
Sam Hilliard,45.7,15.2,53.2,11.8,0.248,200.4,1
Alex Dickerson,47.6,12.7,50.1,3.0,0.272,200.6,1
Hunter Renfroe,66.6,30.1,81.7,3.9,0.23,203.2,1
Aristides Aquino,53.8,25.3,65.8,5.4,0.24,203.6,1
Raimel Tapia,35.7,6.2,36.7,7.3,0.278,211.2,11
Dexter Fowler,67.1,17.3,57.9,8.4,0.23600000000000002,211.8,1
Leury Garcia,48.9,7.1,36.6,9.3,0.26,213.0,11
D.J. Stewart,45.4,14.7,45.6,6.7,0.252,213.8,11
Josh Reddick,46.3,11.3,43.5,3.5,0.267,217.4,11
Jose Martinez,44.7,12.0,48.9,2.5,0.27,219.4,11
Mallex Smith,55.2,6.5,40.8,36.1,0.249,221.6,23
Kevin Pillar,35.5,8.2,33.3,5.7,0.27399999999999997,222.2,11
Teoscar Hernandez,58.4,21.8,62.7,6.8,0.23,223.6,11
Ender Inciarte,36.9,6.0,33.4,9.8,0.265,223.8,11
Mike Tauchman,54.2,11.5,46.3,7.8,0.247,225.0,11
Ian Desmond,33.7,10.6,38.7,4.7,0.264,229.4,11
Tyler O’Neill,50.6,21.9,59.2,4.5,0.23800000000000002,229.6,11
JaCoby Jones,61.5,14.9,50.4,11.4,0.233,229.8,11
Kevin Kiermaier,47.2,12.9,45.7,13.7,0.24,235.8,11
Harrison Bader,44.9,14.4,48.5,9.9,0.239,239.4,12
Jake Bauers,47.5,13.1,42.5,8.5,0.242,239.8,12
Tyler Naquin,32.9,8.4,30.0,3.4,0.27399999999999997,241.4,12
Jose Osuna,38.3,11.0,41.5,2.5,0.264,244.2,12
Adam Haseley,38.3,9.9,41.1,4.4,0.255,245.0,12
Wil Myers,45.6,15.9,49.1,11.4,0.22899999999999998,250.6,12
Josh Rojas,26.5,5.7,24.9,9.0,0.266,251.4,12
Brandon Nimmo,62.8,14.2,48.1,6.8,0.23,252.0,12
Derek Fisher,49.5,15.7,47.4,9.3,0.22899999999999998,253.4,12
Dwight Smith,32.2,8.9,32.9,3.6,0.26,257.0,12
Christin Stewart,55.9,18.2,57.9,1.4,0.245,257.4,12
Jordan Luplow,39.0,11.4,34.5,4.2,0.25,258.4,12
Austin Riley,42.1,17.6,51.0,1.6,0.249,260.0,12
Manuel Margot,31.9,7.3,28.6,9.1,0.251,260.4,12
Yoshitomo Tsutsugo,46.7,17.2,49.7,1.3,0.249,268.8,12
Hunter Pence,28.1,8.8,30.1,3.1,0.26,270.2,2
Guillermo Heredia,34.4,6.4,32.9,5.1,0.252,271.4,2
Albert Almora Jr.,29.8,7.1,32.1,2.4,0.266,272.8,2
Steven Souza Jr.,35.9,13.3,40.3,4.7,0.24100000000000002,272.8,2
Mitch Haniger,33.6,11.4,35.3,3.1,0.248,276.0,2
Franchy Cordero,43.3,13.1,45.5,8.2,0.225,277.8,2
Tony Kemp,30.0,3.7,22.8,6.1,0.261,281.0,2
Jaylin Davis,33.5,11.9,37.7,4.5,0.24100000000000002,281.6,2
Jarrod Dyson,35.9,6.0,31.4,18.8,0.239,281.8,2
Brian Goodwin,47.1,12.2,41.3,6.2,0.23,282.8,2
Dylan Carlson,26.5,7.1,26.6,5.1,0.253,283.8,2
Yairo Munoz,23.4,5.4,23.7,5.8,0.256,291.0,2
Lane Thomas,27.1,8.4,28.7,6.5,0.244,291.8,2
Steven Duggar,35.1,5.7,29.4,7.0,0.243,292.2,2
Kyle Lewis,46.9,15.1,50.1,2.4,0.233,292.4,2
Greg Allen,29.3,4.1,24.3,9.4,0.24600000000000002,297.8,5
Phillip Ervin,27.6,7.3,28.0,6.4,0.243,299.8,5
Yoenis Cespedes,27.4,10.9,30.1,1.7,0.254,300.2,5
Jo Adell,32.5,9.0,30.5,3.8,0.242,300.4,5
Garrett Cooper,37.7,10.5,37.8,0.7,0.262,303.6,5
Melky Cabrera,26.8,5.5,26.2,1.2,0.275,308.4,5
Jake Marisnick,30.4,10.6,35.2,8.0,0.218,311.4,5
Tim Locastro,23.3,3.4,19.2,8.3,0.25,311.8,5
Enrique Hernandez,32.4,10.4,35.5,1.9,0.244,312.4,5
Travis Demeritte,31.0,10.3,31.6,2.7,0.24,317.4,5
Cameron Maybin,19.7,3.9,16.8,5.2,0.256,317.8,5
Brett Phillips,37.6,8.9,32.9,8.2,0.21,319.2,5
Jason Martin,18.7,5.1,19.2,3.9,0.255,320.0,5
Robbie Grossman,26.7,4.1,21.6,2.8,0.254,322.4,5
Randy Arozarena,16.6,3.7,14.7,4.8,0.256,331.2,3
Jake Fraley,20.0,5.4,19.8,5.5,0.244,333.4,3
Harold Ramirez,17.2,4.1,17.5,1.5,0.275,334.4,3
Matt Beaty,18.0,4.4,18.5,1.4,0.27399999999999997,335.6,3
Jon Jay,24.6,2.6,23.6,1.9,0.263,336.2,3
Brandon Drury,35.9,9.3,34.1,1.4,0.24100000000000002,336.4,3
Chad Pinder,28.0,8.4,27.3,1.2,0.249,338.6,3
Jay Bruce,31.9,14.1,38.0,1.3,0.235,340.8,3
Magneuris Sierra,15.1,1.9,14.6,7.0,0.255,342.0,3
Delino DeShields,27.8,3.4,20.7,11.8,0.23199999999999998,344.2,3
Scott Heineman,18.7,3.8,16.1,3.2,0.251,348.2,3
Roman Quinn,17.9,4.0,19.2,8.0,0.24,349.2,3
Bubba Starling,25.9,5.4,25.2,3.7,0.237,350.2,3
Matt Joyce,31.1,9.0,28.2,1.5,0.237,355.2,3
Austin Slater,18.3,4.0,16.5,2.2,0.251,361.2,3
Daniel Johnson,12.4,3.2,12.0,2.3,0.265,361.6,3
Ben Gamel,16.8,3.0,15.4,1.9,0.259,363.6,3
Monte Harrison,19.4,5.9,20.0,6.7,0.225,365.8,3
Michael A. Taylor,16.3,4.6,18.2,6.0,0.23600000000000002,366.4,3
Josh VanMeter,14.2,3.9,13.5,2.9,0.25,366.4,3
Dominic Smith,22.0,7.0,23.1,1.4,0.242,376.4,3
Jared Oliva,10.7,1.9,10.0,4.4,0.255,377.8,3
Steve Wilkerson,21.3,4.4,20.0,2.9,0.235,380.6,6
Rafael Ortega,12.7,2.5,13.0,2.8,0.251,386.8,6
Billy Hamilton,20.7,1.7,16.5,14.0,0.22699999999999998,386.8,6
Seth Brown,21.6,6.2,23.1,1.8,0.23199999999999998,391.8,6
Jake Cave,14.7,3.5,14.1,0.9,0.257,397.4,6
Austin Dean,10.7,3.1,11.1,0.9,0.26899999999999996,397.6,6
Juan Lagares,17.4,3.2,16.5,2.6,0.24,398.2,6
Anthony Alford,16.8,3.2,14.7,6.1,0.225,400.8,6
Harold Castro,11.5,1.6,10.6,1.6,0.264,401.0,6
Yonathan Daza,8.0,1.1,8.1,1.6,0.301,401.2,6
Billy McKinney,20.9,6.4,20.2,1.2,0.239,401.2,6
Odubel Herrera,10.7,2.8,10.5,1.2,0.26,405.4,6
Josh Naylor,11.4,3.1,11.0,0.7,0.266,407.6,6
Adam Engel,18.4,3.6,15.7,4.0,0.222,408.0,6
Charlie Culberson,15.6,3.7,16.6,1.7,0.23800000000000002,416.2,6
Aaron Hicks,14.8,4.6,13.6,1.5,0.239,418.0,6
Lewis Brinson,15.2,4.5,16.5,2.8,0.218,418.2,6
Jonathan Davis,15.5,3.0,13.5,3.4,0.22699999999999998,422.6,6
Jacoby Ellsbury,14.3,2.2,13.0,2.8,0.23800000000000002,424.8,6
Carlos Gonzalez,16.2,5.6,17.8,1.3,0.23199999999999998,425.8,6
Clint Frazier,11.8,3.7,12.1,1.0,0.247,429.2,6
Adolis Garcia,12.4,4.5,13.2,2.3,0.226,431.8,6
LaMonte Wade,10.4,1.6,8.5,1.1,0.257,439.2,6
Luke Raley,10.7,2.7,10.2,0.9,0.249,443.4,4
Pablo Reyes,7.0,1.8,7.5,1.5,0.253,443.8,4
Dylan Moore,11.2,2.7,10.1,3.9,0.222,446.0,4
J.T. Riddle,10.4,2.8,11.1,0.9,0.24600000000000002,450.4,4
Tim Lopes,7.0,1.1,6.0,2.8,0.25,454.0,4
Dustin Fowler,9.9,2.3,9.1,1.7,0.24,454.4,4
Brandon Dixon,10.1,3.1,11.2,1.2,0.23800000000000002,459.2,4
Justin Williams,8.9,2.6,9.2,0.7,0.25,460.4,4
Adam Duvall,14.2,5.7,16.7,0.5,0.233,460.6,4
Edward Olivares,8.2,1.8,8.2,2.7,0.237,462.0,4
Troy Stokes Jr,9.2,2.5,8.9,1.9,0.231,468.6,4
Cristian Pache,6.9,1.4,6.9,1.1,0.254,473.0,4
Corey Ray,9.6,3.0,10.0,2.3,0.209,475.8,4
Nick Heath,8.0,1.1,6.8,5.9,0.228,476.0,4
Leonys Martin,9.3,2.3,8.0,1.9,0.231,478.2,4
Luis Barrera,5.7,0.8,5.2,1.5,0.256,484.0,0
Travis Jankowski,8.5,0.9,6.3,2.9,0.23800000000000002,484.2,0
Cedric Mullins,7.6,1.5,6.1,2.2,0.239,484.2,0
Daz Cameron,8.6,1.9,7.8,2.1,0.226,486.4,0
Nick Williams,8.4,2.9,9.4,0.5,0.243,487.2,0
Tyler Austin,10.9,3.9,11.3,0.9,0.22399999999999998,487.2,0
Nick Delmonico,10.0,2.9,10.0,0.7,0.237,488.0,0
Seth Beer,5.8,1.9,6.6,0.2,0.26,496.4,0
Rajai Davis,6.5,1.2,6.0,2.6,0.237,497.6,0
Jose Siri,7.3,2.0,7.3,2.5,0.21100000000000002,499.4,0
Kyle Garlick,11.3,3.9,12.3,0.6,0.22,500.4,0
Andrew Stevenson,5.7,0.8,5.5,1.3,0.251,502.0,0
Luis Alexander Basabe,8.8,1.7,7.7,1.8,0.217,502.2,0
Bradley Zimmer,7.0,1.7,6.3,1.7,0.231,506.0,0
Charlie Tilson,5.1,0.6,4.5,1.0,0.26,506.2,0
Alex Kirilloff,3.9,0.8,3.7,0.4,0.27699999999999997,506.6,0
Jorge Bonifacio,8.8,2.6,8.8,0.7,0.23399999999999999,506.6,0
Yusniel Diaz,5.8,1.4,5.4,0.7,0.252,507.4,0
Brian O’Grady,7.4,2.4,7.1,1.4,0.222,509.0,0
Derek Hill,6.4,1.4,5.9,2.2,0.231,514.0,0
Rusney Castillo,3.1,0.6,2.8,0.4,0.27899999999999997,516.4,0
Peter Bourjos,8.0,1.6,7.7,1.1,0.22699999999999998,523.0,9
Scott Schebler,8.6,2.9,8.9,0.6,0.222,525.6,9
Jacob Robson,3.7,0.7,3.3,1.1,0.251,527.8,9
Drew Waters,3.8,0.7,3.7,0.7,0.257,528.8,9
Ryan McKenna,5.4,1.0,4.8,1.3,0.242,531.8,9
Mark Payton,5.7,1.7,5.8,0.7,0.24100000000000002,532.4,9
Marcus Wilson,6.1,1.5,5.9,1.0,0.23399999999999999,536.2,9
Jarred Kelenic,3.7,1.2,3.7,0.8,0.247,538.8,9
Michael Hermosillo,6.6,1.7,6.0,1.3,0.215,540.2,9
Leody Taveras,5.0,0.7,4.4,1.6,0.239,540.4,9
Joe McCarthy,7.8,1.6,7.1,0.8,0.217,544.8,9
Tyrone Taylor,6.6,1.8,6.8,0.7,0.225,548.4,9
Alex Jackson,8.3,3.4,9.7,0.2,0.207,549.8,9
Jesus Sanchez,4.7,1.2,4.8,0.5,0.244,554.2,10
Skye Bolt,6.7,1.4,6.1,1.1,0.214,555.8,10
Trevor Larnach,2.0,0.4,1.8,0.1,0.266,557.0,10
Matt Kemp,4.0,1.4,4.3,0.1,0.248,563.0,10
Yadiel Hernandez,1.1,0.3,1.1,0.1,0.266,566.8,10
Blake Rutherford,5.5,1.0,5.0,0.7,0.235,568.8,10
Dairon Blanco,2.4,0.4,2.2,1.0,0.242,570.4,10
Drew Robinson,5.4,1.4,5.3,1.2,0.204,571.6,10
Braden Bishop,5.7,1.0,4.8,0.7,0.23199999999999998,572.6,10
Kahlil Lee,2.7,0.5,2.3,1.2,0.237,577.0,7
Gilberto Celestino,5.5,1.0,5.0,0.8,0.22399999999999998,582.0,7
Estevan Florial,5.3,1.3,5.0,1.0,0.20199999999999999,588.2,7
Jorge Ona,5.1,1.3,5.0,0.4,0.22899999999999998,588.4,7
Micker Adolfo,5.5,1.4,5.2,0.5,0.217,591.2,7
DJ Peters,5.8,1.8,5.9,0.2,0.213,592.2,7
Ben Deluzio,1.1,0.1,1.0,0.4,0.248,592.6,7
Heliot Ramos,2.9,0.8,2.9,0.4,0.239,594.8,7
Logan Morrison,3.4,1.4,3.7,0.1,0.23800000000000002,596.8,7
Taylor Trammell,3.0,0.6,2.7,0.8,0.226,603.2,7
Brent Rooker,1.6,0.5,1.5,0.1,0.245,603.2,7
Chas McCormick,1.5,0.3,1.3,0.2,0.244,604.2,7
Brandon Marsh,1.8,0.3,1.5,0.3,0.243,604.4,7
Alek Thomas,2.9,0.6,2.8,0.5,0.23199999999999998,609.8,7
Nick Martini,2.3,0.3,1.6,0.1,0.24100000000000002,617.4,7
Donnie Dewees,1.2,0.3,1.2,0.2,0.24100000000000002,618.0,7
Jahmai Jones,3.1,0.4,2.6,0.6,0.22399999999999998,620.2,7
Austin Jackson,1.6,0.2,1.4,0.2,0.24,621.4,7
Julio Rodriguez,2.7,0.7,2.7,0.2,0.23,627.0,20
J.J. Bleday,2.8,0.8,3.0,0.2,0.20800000000000002,645.4,20
Keon Broxton,0.9,0.3,0.9,0.4,0.192,662.0,20
Ronnie Dawson,1.3,0.3,1.2,0.3,0.203,664.0,20
