Name,R,HR,RBI,SB,AVG,Ovr,group
Francisco Lindor,111.4,35.1,94.6,21.5,0.289,18.2,16
Trevor Story,105.7,36.7,94.5,20.7,0.27899999999999997,26.0,16
Alex Bregman,110.5,33.7,111.9,6.6,0.287,38.6,21
Javier Baez,88.8,32.9,95.4,14.6,0.273,49.2,6
Trea Turner,93.7,21.0,71.6,37.4,0.29,55.2,22
Gleyber Torres,91.2,36.2,110.4,6.9,0.272,56.8,6
Xander Bogaerts,91.7,26.1,99.4,6.0,0.292,57.8,6
Manny Machado,95.3,36.5,95.2,6.5,0.272,63.0,6
Bo Bichette,88.4,21.6,76.9,24.0,0.27399999999999997,67.8,13
Marcus Semien,98.9,24.5,76.7,12.1,0.268,71.6,17
Fernando Tatis Jr.,87.3,28.7,73.0,22.2,0.265,75.2,13
Jorge Polanco,94.4,19.3,84.4,7.6,0.28,75.4,17
Tim Anderson,81.5,21.1,74.6,17.6,0.275,78.2,13
Jean Segura,81.8,15.6,66.8,12.9,0.28800000000000003,90.4,13
Carlos Correa,89.4,32.0,104.4,2.6,0.273,95.0,23
Amed Rosario,65.7,14.4,66.9,19.1,0.275,111.4,14
Corey Seager,84.4,23.3,83.0,2.3,0.27899999999999997,117.0,18
Paul DeJong,77.8,28.4,80.7,6.8,0.253,121.8,18
Andrelton Simmons,69.2,11.7,63.8,10.0,0.278,125.6,14
Adalberto Mondesi,69.7,18.5,67.2,45.5,0.253,128.2,25
Elvis Andrus,69.2,13.5,65.9,20.8,0.261,132.4,14
Jonathan Villar,73.8,17.0,56.1,32.6,0.257,132.4,24
Didi Gregorius,67.2,22.6,77.2,5.2,0.258,136.8,7
Dansby Swanson,70.4,17.6,69.6,10.0,0.253,141.8,7
Kevin Newman,59.8,9.3,52.5,17.8,0.282,143.2,7
Willy Adames,67.4,17.6,62.9,6.8,0.256,156.8,7
David Fletcher,64.9,6.2,49.5,7.7,0.27899999999999997,172.4,5
Miguel Rojas,55.6,9.0,49.7,8.2,0.273,174.8,5
Niko Goodrum,68.7,17.7,66.9,12.7,0.24100000000000002,177.0,26
Jose Iglesias,56.3,8.8,48.3,8.4,0.26899999999999996,181.4,5
Nicky Lopez,59.6,6.5,47.5,9.1,0.272,182.4,5
Jose Peraza,47.1,6.5,36.4,9.9,0.28300000000000003,187.0,5
Nick Ahmed,60.4,17.2,69.8,6.7,0.242,196.0,28
Carter Kieboom,50.3,12.7,51.3,4.1,0.26,204.4,19
