#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
1,Jacob deGrom,NYM,SP,R,11.4,11.4,7.8,315.2,77.5,5.2,3.8,0,0,3.29,2.82,1.09,93.5,18.9,65.4,2.4,28.4,30.9,9,42.7,34.4,20.2,0.292
2,Aaron Nola,PHI,SP,R,11.4,11.4,6.7,310.2,73.0,4.4,4.1,0,0,3.97,3.53,1.28,77.5,24.7,68.4,3.0,32.6,35.3,10,46.9,30.5,19.9,0.296
3,Max Scherzer,WSH,SP,R,10.8,10.8,7.1,294.3,72.4,4.9,3.5,0,0,3.39,2.69,1.06,93.0,17.7,59.2,3.2,27.6,29.6,10,34.1,42.5,20.7,0.285
4,Zack Wheeler,PHI,SP,R,11.4,11.4,6.3,303.2,71.8,4.1,4.2,0,0,4.29,3.55,1.26,69.9,20.2,70.4,2.5,34.5,37.1,11,42.0,35.4,19.9,0.291
5,Trevor Bauer,CIN,SP,R,11.4,11.4,6.5,305.5,71.8,4.1,4.2,0,0,4.06,3.42,1.27,80.6,27.0,64.2,3.8,32.8,35.3,10,42.0,35.3,20.1,0.295
6,Gerrit Cole,NYY,SP,R,11.4,11.4,7.3,288.6,71.8,5.8,2.7,0,0,3.23,2.40,1.04,99.4,19.2,55.2,2.2,26.1,28.2,10,40.8,39.1,20.1,0.286
7,Zack Greinke,HOU,SP,R,11.4,11.4,6.4,302.7,71.8,5.1,3.3,0,0,4.16,3.66,1.23,65.9,16.2,71.9,1.9,34.0,36.6,12,43.4,36.5,20.1,0.295
8,Corey Kluber,TEX,SP,R,11.0,11.0,6.6,297.8,71.5,4.8,3.7,0,0,3.98,3.26,1.21,72.6,18.8,67.5,2.5,31.4,33.8,11,43.5,36.0,20.5,0.296
9,Mike Clevinger,CLE,SP,R,11.4,11.4,6.8,294.5,70.7,5.3,3.2,0,0,3.59,3.17,1.17,85.5,22.8,60.0,2.1,28.8,31.1,9,41.1,38.2,20.7,0.289
10,Madison Bumgarner,ARI,SP,L,11.4,11.4,5.9,303.4,70.7,3.6,4.5,0,0,4.70,3.83,1.31,63.3,19.7,72.8,3.0,36.9,39.3,12,36.5,39.7,21.1,0.295
11,Kyle Gibson,TEX,SP,R,11.4,11.4,6.3,297.9,69.5,4.6,3.8,0,0,4.20,3.70,1.36,63.7,25.7,68.7,2.5,32.1,35.0,9,51.0,28.5,20.5,0.303
12,Joe Musgrove,PIT,SP,R,11.4,11.4,6.0,297.3,69.5,3.6,4.5,0,0,4.48,3.78,1.31,60.1,18.0,73.2,3.3,34.0,36.6,10,42.0,33.9,21.4,0.304
13,Patrick Corbin,WSH,SP,L,11.4,11.4,6.7,292.3,69.5,4.6,3.7,0,0,3.67,3.38,1.25,75.6,22.6,64.1,2.0,28.7,31.3,9,46.0,30.6,20.7,0.300
14,Kyle Hendricks,CHC,SP,R,11.4,11.4,5.8,291.9,68.4,3.9,4.1,0,0,4.45,3.90,1.31,53.0,16.4,73.1,2.9,34.3,36.9,10,43.1,33.5,20.7,0.299
15,Jose Berrios,MIN,SP,R,11.4,11.4,5.9,291.6,68.4,4.7,3.3,0,0,4.35,3.64,1.27,66.7,20.0,67.1,3.6,33.9,36.3,11,41.0,38.2,20.8,0.295
16,Tanner Roark,TOR,SP,R,11.4,11.4,5.3,299.7,68.4,3.7,4.4,0,0,5.16,4.16,1.38,58.1,20.3,74.2,3.7,39.3,41.8,13,40.5,39.1,20.4,0.297
17,Dallas Keuchel,CHW,SP,L,11.4,11.4,5.9,299.3,68.4,4.3,3.7,0,0,4.40,4.13,1.41,52.3,23.1,73.5,2.5,33.4,36.6,9,55.5,24.4,20.1,0.306
18,Stephen Strasburg,WSH,SP,R,11.4,11.4,6.4,280.1,67.3,4.3,3.5,0,0,3.69,3.16,1.19,73.8,18.9,61.5,2.9,28.0,30.3,9,44.0,32.6,20.7,0.298
19,Walker Buehler,LAD,SP,R,11.4,11.4,6.6,277.8,67.3,4.8,3.2,0,0,3.53,3.09,1.15,73.8,17.9,59.2,2.6,26.7,29.0,9,44.2,33.4,19.8,0.292
20,Justin Verlander,HOU,SP,R,10.8,10.8,6.6,271.0,67.0,5.5,2.5,0,0,3.38,2.62,1.03,88.4,15.4,53.4,2.3,25.8,27.6,10,34.0,45.9,20.1,0.281
21,Shane Bieber,CLE,SP,R,11.4,11.4,6.4,271.5,66.1,4.9,2.9,0,0,3.55,3.03,1.12,72.1,12.7,61.2,2.0,26.7,28.9,9,45.7,33.6,20.7,0.296
22,Clayton Kershaw,LAD,SP,L,10.8,10.8,6.4,274.5,65.9,4.5,3.2,0,0,3.64,3.50,1.18,62.6,14.9,62.8,1.6,26.9,29.4,9,45.2,32.3,19.8,0.290
23,Marco Gonzales,SEA,SP,L,11.4,11.4,5.5,281.5,65.0,3.3,4.2,0,0,4.65,4.28,1.35,48.9,18.2,69.8,2.5,33.3,35.8,11,43.5,36.5,20.0,0.294
24,Rick Porcello,NYM,SP,R,11.4,11.4,5.3,281.4,65.0,3.4,4.3,0,0,4.83,4.04,1.34,54.5,17.4,69.6,3.1,34.8,37.2,11,40.7,36.5,20.2,0.297
25,Jon Lester,CHC,SP,L,11.4,11.4,5.2,285.6,65.0,3.5,4.2,0,0,4.85,4.32,1.41,53.8,22.0,69.6,2.3,35.5,38.0,10,41.4,35.2,20.7,0.298
26,Blake Snell,TB,SP,L,11.0,11.0,6.5,268.7,64.9,4.9,3.1,0,0,3.35,3.10,1.17,80.9,23.3,52.4,1.5,24.5,26.6,8,42.4,37.1,20.5,0.288
27,Mike Minor,TEX,SP,L,11.4,11.4,5.6,270.7,63.8,3.9,3.5,0,0,4.40,3.67,1.28,59.8,19.7,61.8,2.5,30.9,33.1,11,38.7,40.8,20.5,0.288
28,Brandon Woodruff,MIL,SP,R,11.4,11.4,5.7,271.8,63.8,3.8,3.7,0,0,4.15,3.51,1.30,65.9,22.8,60.2,2.9,29.7,32.1,9,44.7,31.9,20.7,0.301
29,Mike Fiers,OAK,SP,R,11.4,11.4,4.8,279.5,63.8,3.6,3.9,0,0,5.17,4.34,1.40,48.0,19.9,69.1,3.2,36.9,39.3,12,40.1,39.5,20.4,0.292
30,German Marquez,COL,SP,R,10.8,10.8,5.6,269.5,63.7,3.8,3.7,0,0,4.28,3.32,1.28,62.0,17.9,64.0,2.6,30.6,32.9,10,44.7,30.6,22.0,0.309
31,Reynaldo Lopez,CHW,SP,R,10.8,10.8,5.1,276.1,63.7,3.8,3.8,0,0,4.94,4.01,1.34,60.0,22.3,63.1,2.7,35.0,37.1,12,35.4,44.5,20.1,0.285
32,Johnny Cueto,SF,SP,R,10.8,10.8,5.5,275.5,63.7,3.1,4.3,0,0,4.52,4.21,1.34,49.8,20.0,65.6,3.0,31.3,33.7,10,42.4,34.8,20.1,0.294
33,Dylan Bundy,LAA,SP,R,11.4,11.4,5.4,266.6,62.7,4.2,3.4,0,0,4.44,3.66,1.26,62.4,19.1,59.8,2.5,31.2,33.2,11,37.8,42.2,20.0,0.287
34,Matthew Boyd,DET,SP,L,11.4,11.4,5.5,263.6,62.7,3.8,3.6,0,0,4.36,3.28,1.23,68.6,18.6,58.3,2.7,30.2,32.0,12,34.8,44.5,20.7,0.288
35,Luis Castillo,CIN,SP,R,11.4,11.4,5.8,265.1,62.7,3.7,3.7,0,0,3.92,3.40,1.27,67.0,22.8,57.0,2.4,27.7,30.1,8,47.3,29.9,20.1,0.297
36,Charlie Morton,TB,SP,R,11.4,11.4,6.3,260.7,62.7,4.5,3.0,0,0,3.46,3.05,1.18,71.6,19.9,54.0,3.7,24.4,26.6,7,48.5,31.0,20.5,0.297
37,Chris Paddack,SD,SP,R,11.0,11.0,5.8,261.7,62.7,3.7,3.7,0,0,4.00,3.34,1.19,63.0,16.3,58.0,2.8,27.7,29.8,9,39.3,37.7,20.3,0.289
38,Frankie Montas,OAK,SP,R,10.8,10.8,5.7,264.8,62.6,4.3,3.1,0,0,4.07,3.58,1.29,58.5,20.6,59.9,2.5,28.6,31.0,8,46.8,32.8,20.4,0.297
