Name,R,HR,RBI,SB,AVG,Ovr,group
Francisco Lindor,111.4,35.1,94.6,21.5,0.289,18.2,19
Trevor Story,105.7,36.7,94.5,20.7,0.27899999999999997,26.0,19
Alex Bregman,110.5,33.7,111.9,6.6,0.287,38.6,20
Jose Altuve,99.7,23.9,92.0,11.7,0.29600000000000004,41.6,7
Ozzie Albies,94.1,24.4,82.2,13.9,0.28800000000000003,49.0,7
Javier Baez,88.8,32.9,95.4,14.6,0.273,49.2,7
Trea Turner,93.7,21.0,71.6,37.4,0.29,55.2,7
Gleyber Torres,91.2,36.2,110.4,6.9,0.272,56.8,7
Gleyber Torres,91.2,36.2,110.4,6.9,0.272,56.8,7
Xander Bogaerts,91.7,26.1,99.4,6.0,0.292,57.8,7
Keston Hiura,89.3,30.5,87.6,13.5,0.271,58.8,7
Ketel Marte,97.3,23.4,76.0,8.8,0.29600000000000004,60.4,7
Manny Machado,95.3,36.5,95.2,6.5,0.272,63.0,7
Bo Bichette,88.4,21.6,76.9,24.0,0.27399999999999997,67.8,8
Marcus Semien,98.9,24.5,76.7,12.1,0.268,71.6,8
Fernando Tatis Jr.,87.3,28.7,73.0,22.2,0.265,75.2,8
Jorge Polanco,94.4,19.3,84.4,7.6,0.28,75.4,8
Tim Anderson,81.5,21.1,74.6,17.6,0.275,78.2,8
Jeff McNeil,86.1,19.4,68.3,9.0,0.28800000000000003,84.4,8
DJ LeMahieu,97.6,18.6,71.4,6.5,0.285,87.2,8
Jean Segura,81.8,15.6,66.8,12.9,0.28800000000000003,90.4,8
Whit Merrifield,89.1,13.6,61.7,23.1,0.282,93.6,8
Carlos Correa,89.4,32.0,104.4,2.6,0.273,95.0,21
Amed Rosario,65.7,14.4,66.9,19.1,0.275,111.4,16
Corey Seager,84.4,23.3,83.0,2.3,0.27899999999999997,117.0,17
Mike Moustakas,86.6,36.2,96.5,2.8,0.256,120.8,17
Paul DeJong,77.8,28.4,80.7,6.8,0.253,121.8,17
Andrelton Simmons,69.2,11.7,63.8,10.0,0.278,125.6,1
