#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
1,Gerrit Cole,NYY,SP,R,11.4,11.4,7.4,293.4,73.0,5.9,2.8,0,0,3.24,2.40,1.04,101.6,19.6,56.1,2.3,26.6,28.6,10,40.8,39.1,20.1,0.287
2,Trevor Bauer,CIN,SP,R,11.4,11.4,6.4,300.9,70.7,4.0,4.1,0,0,4.06,3.42,1.27,79.4,26.7,63.3,3.8,32.3,34.8,10,42.0,35.3,20.1,0.295
3,Jose Berrios,MIN,SP,R,11.4,11.4,6.1,301.4,70.7,4.8,3.4,0,0,4.34,3.64,1.27,69.1,20.7,69.3,3.7,35.1,37.5,11,41.0,38.2,20.8,0.295
4,Mike Clevinger,CLE,SP,R,11.4,11.4,6.7,289.6,69.5,5.2,3.1,0,0,3.60,3.17,1.17,84.2,22.5,59.1,2.1,28.4,30.7,9,41.1,38.2,20.7,0.289
5,Aaron Nola,PHI,SP,R,11.4,11.4,6.4,295.4,69.5,4.2,3.9,0,0,3.99,3.53,1.28,73.7,23.7,65.2,2.9,31.0,33.6,9,46.9,30.5,19.9,0.296
6,Zack Greinke,HOU,SP,R,11.4,11.4,6.2,293.0,69.5,4.9,3.2,0,0,4.16,3.66,1.22,64.1,15.6,69.6,1.9,33.0,35.5,11,43.4,36.5,20.1,0.295
7,Patrick Corbin,WSH,SP,L,11.4,11.4,6.7,292.3,69.5,4.6,3.7,0,0,3.68,3.38,1.25,75.4,22.6,64.1,2.0,28.7,31.3,9,46.0,30.6,20.7,0.300
8,Marco Gonzales,SEA,SP,L,11.4,11.4,5.8,296.2,68.4,3.5,4.4,0,0,4.64,4.28,1.35,51.5,19.1,73.4,2.7,35.1,37.7,12,43.5,36.5,20.0,0.294
9,Walker Buehler,LAD,SP,R,11.4,11.4,6.7,282.3,68.4,4.8,3.3,0,0,3.52,3.09,1.14,75.1,18.1,60.1,2.7,27.1,29.5,9,44.2,33.4,19.8,0.292
10,Shane Bieber,CLE,SP,R,11.4,11.4,6.6,281.0,68.4,5.0,3.0,0,0,3.56,3.03,1.12,74.7,13.2,63.4,2.1,27.6,30.0,9,45.7,33.6,20.7,0.296
11,Kyle Hendricks,CHC,SP,R,11.4,11.4,5.7,287.2,67.3,3.9,4.1,0,0,4.45,3.89,1.31,52.1,16.2,71.9,2.9,33.7,36.3,10,43.1,33.5,20.7,0.299
12,Dallas Keuchel,CHW,SP,L,11.4,11.4,5.8,294.5,67.3,4.2,3.6,0,0,4.40,4.13,1.41,51.6,22.8,72.3,2.4,32.9,36.0,9,55.5,24.4,20.1,0.306
13,Stephen Strasburg,WSH,SP,R,11.0,11.0,6.4,279.2,67.1,4.3,3.5,0,0,3.69,3.16,1.20,73.4,18.9,61.3,2.9,27.9,30.2,9,44.0,32.6,20.7,0.298
