Name,R,HR,RBI,SB,AVG,Ovr,group
Mike Trout,115.7,42.9,109.6,13.2,0.29600000000000004,12.0,14
Cody Bellinger,113.4,42.5,113.3,12.5,0.287,17.0,14
Cody Bellinger,113.4,42.5,113.3,12.5,0.287,17.0,14
Francisco Lindor,111.4,35.1,94.6,21.5,0.289,18.2,14
Christian Yelich,106.5,34.6,92.3,21.4,0.304,19.0,14
Ronald Acuna Jr.,108.2,36.8,90.4,29.4,0.28300000000000003,20.8,14
Trevor Story,105.7,36.7,94.5,20.7,0.27899999999999997,26.0,14
Rafael Devers,105.4,33.1,107.8,9.6,0.299,26.0,14
Juan Soto,110.7,35.0,96.7,9.0,0.292,29.8,14
Jose Ramirez,94.9,30.9,102.1,23.7,0.27699999999999997,31.6,14
Mookie Betts,113.1,31.3,87.0,17.1,0.27899999999999997,34.4,14
Alex Bregman,110.5,33.7,111.9,6.6,0.287,38.6,14
Alex Bregman,110.5,33.7,111.9,6.6,0.287,38.6,14
Jose Altuve,99.7,23.9,92.0,11.7,0.29600000000000004,41.6,14
Freddie Freeman,105.2,32.9,95.6,6.4,0.292,45.0,14
Charlie Blackmon,103.0,29.7,86.5,8.0,0.294,46.8,14
George Springer,118.2,35.0,93.1,8.2,0.273,48.8,14
Ozzie Albies,94.1,24.4,82.2,13.9,0.28800000000000003,49.0,12
Javier Baez,88.8,32.9,95.4,14.6,0.273,49.2,14
Nolan Arenado,107.8,39.2,109.1,3.4,0.29600000000000004,52.4,14
Trea Turner,93.7,21.0,71.6,37.4,0.29,55.2,12
Gleyber Torres,91.2,36.2,110.4,6.9,0.272,56.8,14
Gleyber Torres,91.2,36.2,110.4,6.9,0.272,56.8,14
Anthony Rizzo,107.5,31.7,87.5,5.6,0.28300000000000003,57.2,12
Austin Meadows,90.1,29.1,85.8,15.4,0.272,57.4,12
Xander Bogaerts,91.7,26.1,99.4,6.0,0.292,57.8,12
Keston Hiura,89.3,30.5,87.6,13.5,0.271,58.8,12
Starling Marte,84.9,23.1,75.4,24.8,0.284,59.2,12
Bryce Harper,108.4,40.1,96.6,11.0,0.259,60.2,12
Ketel Marte,97.3,23.4,76.0,8.8,0.29600000000000004,60.4,12
Ketel Marte,97.3,23.4,76.0,8.8,0.29600000000000004,60.4,12
J.D. Martinez,101.7,39.6,128.0,2.6,0.301,62.6,14
Manny Machado,95.3,36.5,95.2,6.5,0.272,63.0,12
Manny Machado,95.3,36.5,95.2,6.5,0.272,63.0,12
Luis Robert,79.4,26.3,81.6,23.4,0.272,66.0,12
Bo Bichette,88.4,21.6,76.9,24.0,0.27399999999999997,67.8,12
Yoan Moncada,98.2,27.7,81.9,12.0,0.267,67.8,12
Yordan Alvarez,97.4,40.3,117.8,3.1,0.276,68.0,12
Eddie Rosario,86.7,29.3,100.9,4.8,0.28300000000000003,69.0,12
Anthony Rendon,90.3,28.0,100.1,4.1,0.284,70.4,12
Marcus Semien,98.9,24.5,76.7,12.1,0.268,71.6,12
